iter	RMSE
0	128.4670194
1	122.1124915
2	116.2726097
3	111.2920934
4	106.5908535
5	102.3648288
6	98.63122658
7	95.38290712
8	92.50905624
9	89.87127302
10	87.5486947
11	85.43254917
12	83.5271015
13	81.9154184
14	80.46124178
15	79.27701883
16	78.15342566
17	77.13641201
18	76.24467981
19	75.38973935
20	74.64630811
21	74.00964261
22	73.49492499
23	72.9301474
24	72.44936912
25	71.97546249
26	71.60821342
27	71.24316188
28	70.89712466
29	70.61668277
30	70.35711031
31	70.07676118
32	69.84654199
33	69.62075224
34	69.4113733
35	69.16548768
36	68.98994709
37	68.81650633
38	68.68157582
39	68.50360741
40	68.37567822
41	68.25836296
42	68.11431064
43	68.02116645
44	67.91809521
45	67.83977426
46	67.72558073
47	67.65193609
48	67.59411302
49	67.50826912
50	67.39988978
51	67.28016987
52	67.16659374
53	67.08048897
54	66.98517021
55	66.90770445
56	66.84432405
57	66.75564995
58	66.69110028
59	66.58908362
60	66.49539791
61	66.41527191
62	66.37064411
63	66.27223163
64	66.2378364
65	66.16096389
66	66.0709852
67	66.0229882
68	65.96726461
69	65.93403803
70	65.88970871
71	65.84361733
72	65.7703572
73	65.70679808
74	65.61629414
75	65.58560469
76	65.53612919
77	65.49033342
78	65.41091215
79	65.36635045
80	65.32079958
81	65.26082702
82	65.21818151
83	65.13412974
84	65.06915881
85	65.01405562
86	64.97572646
87	64.93898323
88	64.89855997
89	64.87804824
90	64.84998425
91	64.8208291
92	64.78924073
93	64.75242345
94	64.70866579
95	64.69203705
96	64.67929852
97	64.67020864
98	64.60920058
99	64.5932575
100	64.57034437
101	64.53721319
102	64.53317552
103	64.50604224
104	64.50080841
105	64.44603856
106	64.42599653
107	64.40018101
108	64.36955802
109	64.32988908
110	64.29733076
111	64.22127462
112	64.16034913
113	64.13270527
114	64.12948687
115	64.07976458
116	64.03223831
117	63.96020906
118	63.88438128
119	63.87979426
120	63.87030788
121	63.82746386
122	63.77084332
123	63.69154239
124	63.69025402
125	63.64213878
126	63.60615604
127	63.54268756
128	63.5224037
129	63.4895393
130	63.42326207
131	63.39417909
132	63.37034548
133	63.35698045
134	63.34863534
135	63.31061206
136	63.30583543
137	63.25180878
138	63.22102724
139	63.21582804
140	63.16013571
141	63.1297693
142	63.0669703
143	63.03672218
144	63.01882531
145	62.95419106
146	62.91947507
147	62.89837609
148	62.8644401
149	62.81672935
150	62.81527021
151	62.77961817
152	62.77725157
153	62.74456152
154	62.71931122
155	62.7187427
156	62.67212823
157	62.66056951
158	62.64078087
159	62.60816195
160	62.5564778
161	62.55408083
162	62.52716347
163	62.49344651
164	62.48619322
165	62.47529157
166	62.44761919
167	62.42940699
168	62.40102563
169	62.34523971
170	62.3079064
171	62.28312865
172	62.26816109
173	62.22630404
174	62.19895819
175	62.17300103
176	62.17083928
177	62.1535426
178	62.13673034
179	62.10320259
180	62.0520482
181	62.01690092
182	62.00234097
183	61.9746492
184	61.96032648
185	61.95806877
186	61.93656847
187	61.86097962
188	61.82310248
189	61.77531083
190	61.77300751
191	61.76572697
192	61.72405505
193	61.6627936
194	61.58842563
195	61.56454638
196	61.53565842
197	61.50357388
198	61.48211168
199	61.44020089
200	61.35427427
201	61.31985276
202	61.31858912
203	61.31673274
204	61.28445154
205	61.26243314
206	61.22927778
207	61.2161846
208	61.20624618
209	61.19844816
210	61.18307516
211	61.17320235
212	61.1473742
213	61.11704368
214	61.10122748
215	61.04509434
216	61.03989515
217	60.98997576
218	60.92039583
219	60.91220286
220	60.90228239
221	60.89889701
222	60.87602202
223	60.85467091
224	60.85062554
225	60.81696756
226	60.79578933
227	60.79440576
228	60.79343574
229	60.79229086
230	60.78337743
231	60.77344533
232	60.7542704
233	60.74996249
234	60.71416121
235	60.6889305
236	60.68243144
237	60.67927111
238	60.61886741
239	60.5935857
240	60.55914512
241	60.55845629
242	60.54479145
243	60.54409302
244	60.51004734
245	60.50015159
246	60.47183429
247	60.43235463
248	60.42372665
249	60.36773216
250	60.36630848
251	60.33744727
252	60.32825824
253	60.27230399
254	60.22298565
255	60.1912305
256	60.1762706
257	60.15949088
258	60.15813827
259	60.12984046
260	60.12698182
261	60.12362692
262	60.09212546
263	60.09132288
264	60.08609252
265	60.08512057
266	60.08303588
267	60.0719169
268	60.06955778
269	60.04504404
270	60.04288563
271	60.02040986
272	60.01988432
273	60.00878983
274	59.99809711
275	59.98137806
276	59.9803987
277	59.96232531
278	59.96133993
279	59.93922636
280	59.92562819
281	59.90594914
282	59.88607852
283	59.88566439
284	59.86741542
285	59.82900778
286	59.80991987
287	59.80433811
288	59.78660911
289	59.7833479
290	59.75370401
291	59.7341673
292	59.71088439
293	59.70449325
294	59.7024278
295	59.70035846
296	59.69960421
297	59.67604545
298	59.63662346
299	59.61001642
300	59.60945658
301	59.60390783
302	59.58400552
303	59.5764076
304	59.56061786
305	59.54709253
306	59.54537669
307	59.49651418
308	59.49543848
309	59.49488333
310	59.48789457
311	59.48467654
312	59.46375415
313	59.45649838
314	59.44854582
315	59.4370005
316	59.42595296
317	59.42143336
318	59.42081021
319	59.42029475
320	59.41621712
321	59.38958639
322	59.38843755
323	59.37404724
324	59.36704425
325	59.35617238
326	59.35338238
327	59.34488448
328	59.34089411
329	59.33496006
330	59.3223793
331	59.31882091
332	59.29596276
333	59.28082706
334	59.25281621
335	59.2343028
336	59.22675457
337	59.21651121
338	59.214394
339	59.19068846
340	59.1861451
341	59.16747176
342	59.15946102
343	59.15898
344	59.14353678
345	59.1404836
346	59.11988788
347	59.11363585
348	59.09610188
349	59.09581179
350	59.09406545
351	59.09152804
352	59.07603237
353	59.07161755
354	59.06781188
355	58.99892493
356	58.99572478
357	58.99565117
358	58.99552719
359	58.98025432
360	58.94680217
361	58.92407512
362	58.9218737
363	58.88803128
364	58.88777123
365	58.88456892
366	58.87485614
367	58.87453003
368	58.87009039
369	58.86468939
370	58.85133813
371	58.84715505
372	58.84359123
373	58.83851411
374	58.82599814
375	58.79768509
376	58.77315617
377	58.762048
378	58.75958767
379	58.71468057
380	58.68913358
381	58.67855875
382	58.66871447
383	58.66760995
384	58.64898197
385	58.61869619
386	58.60246704
387	58.58346524
388	58.55290941
389	58.5524234
390	58.5516934
391	58.53576392
392	58.52828181
393	58.52785808
394	58.51732051
395	58.51107246
396	58.50949032
397	58.50942586
398	58.49225004
399	58.47791671
400	58.47737536
401	58.47348606
402	58.44817191
403	58.4462009
404	58.43157268
405	58.41211616
406	58.40396855
407	58.40320735
408	58.37447779
409	58.36729221
410	58.35097943
411	58.34607491
412	58.32800063
413	58.31832449
414	58.31800506
415	58.28250804
416	58.27192414
417	58.25495687
418	58.25408189
419	58.23245045
420	58.22088187
421	58.22046572
422	58.21301965
423	58.20996282
424	58.19096052
425	58.17765501
426	58.16118293
427	58.14293521
428	58.13868149
429	58.1296423
430	58.12931397
431	58.10335422
432	58.10239434
433	58.09684329
434	58.09631019
435	58.09562167
436	58.09388854
437	58.08917676
438	58.0880868
439	58.08447641
440	58.06854865
441	58.06834791
442	58.06119137
443	58.0570734
444	58.029299
445	58.02851319
446	58.02641172
447	58.0261478
448	58.01708517
449	58.01543834
450	58.01416576
451	58.01401604
452	58.00105418
453	57.98583078
454	57.98354446
455	57.9735861
456	57.96958611
457	57.96906761
458	57.96205853
459	57.96029774
460	57.94486641
461	57.94368892
462	57.94349957
463	57.93726459
